Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_1206_3216Metric",55.730000,-56.750000,180.000000,top
"C2","100uF","CP_Radial_D4.0mm_P2.00mm",56.602600,-63.000000,180.000000,top
"C3","100nF","C_1206_3216Metric",55.730000,-59.350000,180.000000,top
"C4","100nF","C_1206_3216Metric",69.800000,-61.750000,180.000000,top
"C5","100nF","C_1206_3216Metric",73.520000,-78.330000,0.000000,top
"C6","100nF","C_1206_3216Metric",75.600000,-70.500000,0.000000,top
"C7","100nF","C_1206_3216Metric",59.800000,-74.500000,180.000000,top
"C8","100nF","C_1206_3216Metric",75.560000,-75.740000,0.000000,top
"C9","100nF","C_1206_3216Metric",63.490000,-65.742500,180.000000,top
"C10","20pF","C_1206_3216Metric",91.420000,-74.390000,-90.000000,top
"C11","20pF","C_1206_3216Metric",88.300000,-74.390000,-90.000000,top
"C12","20pF","C_1206_3216Metric",83.820000,-78.580000,180.000000,top
"C13","20pF","C_1206_3216Metric",83.820000,-61.460000,180.000000,top
"C14","100nF","C_1206_3216Metric",44.400000,-78.300000,-90.000000,top
"C15","100nF","C_1206_3216Metric",42.670000,-69.970000,180.000000,top
"D1","1N4007","D_SMA",54.600000,-53.500000,180.000000,top
"D2","LED","LED_D5.0mm_Horizontal_O6.35mm_Z3.0mm",70.595000,-47.395000,180.000000,top
"J1","DC adapter input","BarrelJack_GCT_DCJ200-10-A_Horizontal",44.500000,-56.020000,-90.000000,top
"J2","SWD sockets","PinSocket_1x04_P2.54mm_Horizontal",40.930000,-76.800000,0.000000,top
"J3","SSD1306 OLED sockets","PinSocket_1x04_P2.54mm_Horizontal",60.190000,-84.720000,90.000000,top
"J4","DHT11 sockets","DHT11",80.680000,-44.770000,-90.000000,top
"R1","470","R_1206_3216Metric",74.240000,-46.340000,90.000000,top
"R2","100k","R_1206_3216Metric",69.730000,-80.190000,-90.000000,top
"R3","100k","R_1206_3216Metric",68.600000,-65.740000,0.000000,top
"R4","10k","R_1206_3216Metric",42.660000,-67.070000,0.000000,top
"SW1","Power ON switch","SW_E-Switch_EG1224_SPDT_Angled",62.360000,-45.870000,180.000000,top
"SW2","Reset switch","SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",34.020000,-43.200000,0.000000,top
"U1","AMS1117-5.0","SOT-223-3_TabPin2",62.325000,-56.042500,-90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",69.850000,-56.050000,-90.000000,top
"U3","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",67.700000,-72.452500,180.000000,top
"Y1","32.768kHz","XTAL_MC-306_32.7680K-G0_ROHS",89.832500,-67.070000,180.000000,top
"Y2","8MHz","Crystal_SMD_HC49-SD",83.680000,-69.910000,90.000000,top
